	Punto	Response	Simple
27	Motivazione scelta della procedura nel caso di ricorso all’art. 76, del Dlgs n.36/2023	"RISPOSTA: NO

Note: Non è presente una motivazione specifica del ricorso alla procedura ex art. 76 del D.lgs. n. 36/2023 nella determina."	NO
28	Conformità dell’affidamento ai principi ed alle norme in materia di appalti pubblici	RISPOSTA: SI	SI
29	Dare atto della verifica dei requisiti dell’affidatario	"RISPOSTA: NO

Note: Non è esplicitamente menzionata la verifica dei requisiti dell'affidatario nel testo della determina."	NO
30	Verifica sulla regolarità contributiva, DURC o attestazione della stessa o autocertificazione (limitata ai casi previsti dalla legge).	"NO

Note: Non è menzionata la regolarità contributiva, DURC o attestazione nella determina."	NO
31	Riferimenti alla deliberazione di approvazione del bilancio.	"RISPOSTA : SI

Note: È stata citata la deliberazione di Consiglio Comunale n. 139 del 18/12/2023, con la quale è stato approvato il Bilancio di Previsione Finanziario 2024/2026."	SI
32	Riferimenti deliberazione approvazione PEG e al PIAO	"RISPOSTA: NO

Note: Non è presente un riferimento esplicito alla deliberazione di approvazione del PEG e al PIAO nella determina."	NO
33	Impegno di spesa/prenotazione	"RISPOSTA: SI 

Note: L'importo impegnato è di € 5.801,71, di cui € 4.755,50 imponibile e € 1.046,21 IVA al 22%. Non ci sono indicazioni di bilancio e PEG non approvati, né di esercizio provvisorio."	SI
34	Contributo ANAC	RISPOSTA : NO	NO
35	Flussi finanziari	"RISPOSTA: NO

Note: La determina non menziona esplicitamente l'obbligo di tracciabilità dei flussi finanziari ai sensi della legge n° 136/2010."	NO
36	Conformità dei pagamenti con le regole della finanza pubblica vigenti	RISPOSTA: SI	SI
37	Indicazione esatta dell’aggiudicatario: nome, cognome, ragione sociale, indirizzo, P.Iva, Cod. Fiscale, sede legale/operativa, altro.	RISPOSTA: SI	SI
38	Comunicazione all’aggiudicatario dell’impegno di spesa, la copertura finanziaria, CIG	"RISPOSTA: NO

Note: Non è presente nel testo della determina la comunicazione all'aggiudicatario dell'impegno di spesa, della copertura finanziaria e del CIG."	NO
39	Indicazione specifica della tipologia del contratto	RISPOSTA: SI	SI
40	Obblighi di pubblicità e trasparenza	RISPOSTA: SI	SI
41	Attestazione circa il rispetto delle prescrizioni del   PTPCT dell’Ente	RISPOSTA: SI	SI
42	Pubblicazione atti all’Albo Pretorio Online.	RISPOSTA : SI	SI
43	Indicazione termini e autorità a cui ricorrere	RISPOSTA : SI	SI
44	Sottoscrizione del Dirigente firmatario dell’atto e, dove previsto, del RP o RUP.	RISPOSTA: SI	SI
45	Presenza del visto di regolarità contabile	RISPOSTA: SI	SI
