Modello,determina_in,Temperature,accuracy,precision,recall,f1_score,balanced_accuracy
gpt-4o-mini,user,0.5,0.6094276094276094,0.619047619047619,0.6094276094276094,0.5868686868686869,0.5185185185185185
gpt-4o-mini,user,1.0,0.6700336700336701,0.722943722943723,0.6700336700336701,0.6700336700336701,0.5879629629629629
llama-3.1-70B,system,0.0,0.634469696969697,0.5017691739529684,0.634469696969697,0.5444552222802996,0.3601973684210526
llama-3.1-70B,system,0.01,0.634469696969697,0.5017691739529684,0.634469696969697,0.5444552222802996,0.3601973684210526
llama-3.1-70B,system,0.2,0.634469696969697,0.4471318920429592,0.634469696969697,0.5175296195033037,0.3289473684210526
llama-3.1-70B,system,0.4,0.6013257575757576,0.44021751606978876,0.6013257575757576,0.5003168721878606,0.31414473684210525
llama-3.1-70B,system,0.5,0.6519886363636364,0.5048534588307316,0.6519886363636364,0.5536135771154794,0.3684210526315789
llama-3.1-70B,system,0.6,0.6676136363636364,0.5237639175849403,0.6676136363636364,0.5711058402441871,0.375
llama-3.1-70B,system,0.8,0.5402462121212122,0.42964804292929293,0.5402462121212122,0.46874143013848896,0.28673245614035087
llama-3.1-70B,system,1.0,0.5754419191919192,0.5416749338624338,0.5754419191919192,0.5479787042287042,0.33095760233918126
llama-3.1-8B,system,0.0,0.5610795454545454,0.44837987432464177,0.5610795454545454,0.48538781744459847,0.30720029239766083
llama-3.1-8B,system,0.01,0.5662878787878788,0.44932133838383836,0.5662878787878788,0.4881888061026332,0.3093932748538012
llama-3.1-8B,system,0.2,0.6273674242424242,0.5085451375224102,0.6273674242424242,0.5515355681097596,0.3485014619883041
llama-3.1-8B,system,0.4,0.48263888888888884,0.44297889610389607,0.48263888888888884,0.4550351071692535,0.2447002923976608
llama-3.1-8B,system,0.5,0.4578598484848485,0.41585497835497837,0.4578598484848485,0.4246643261887164,0.2595029239766082
llama-3.1-8B,system,0.6,0.47553661616161613,0.4412743506493507,0.47553661616161613,0.44768106516976997,0.2525584795321637
llama-3.1-8B,system,0.8,0.5227272727272727,0.5538221940660966,0.5227272727272727,0.5171557345607979,0.27850877192982454
llama-3.1-8B,system,1.0,0.43197601010101006,0.4774306604248465,0.43197601010101006,0.4392957351290685,0.2529239766081871
llama-3.2-3B,system,0.0,0.6240530303030303,0.4487328357571487,0.6240530303030303,0.5140390257349321,0.32456140350877194
llama-3.2-3B,system,0.01,0.6240530303030303,0.4487328357571487,0.6240530303030303,0.5140390257349321,0.32456140350877194
llama-3.2-3B,system,0.2,0.5909090909090908,0.4549765952204977,0.5909090909090908,0.5050345224395857,0.30975877192982454
llama-3.2-3B,system,0.4,0.5735479797979798,0.44649621212121215,0.5735479797979798,0.4974593495934959,0.28636695906432746
llama-3.2-3B,system,0.5,0.6013257575757576,0.45435893021120294,0.6013257575757576,0.5086353510945748,0.31414473684210525
llama-3.2-3B,system,0.6,0.5909090909090908,0.4836726466438218,0.5909090909090908,0.5279950357251764,0.30975877192982454
llama-3.2-3B,system,0.8,0.5629734848484849,0.4497582357667585,0.5629734848484849,0.488458726945569,0.29714912280701755
llama-3.2-3B,system,1.0,0.5508207070707071,0.5029840818903318,0.5508207070707071,0.5154291786644728,0.31889619883040937
llama-3.3-70B,system,0.0,0.5723905723905723,0.5191919191919192,0.5723905723905723,0.5413943355119826,0.38425925925925924
llama-3.3-70B,system,0.01,0.6026936026936026,0.525925925925926,0.6026936026936026,0.5592196474549415,0.39814814814814814
llama-3.3-70B,system,0.2,0.6094276094276094,0.5909090909090909,0.6094276094276094,0.585886880004527,0.4212962962962963
llama-3.3-70B,system,0.4,0.6026936026936026,0.5037037037037037,0.6026936026936026,0.5463458110516933,0.35648148148148145
llama-3.3-70B,system,0.5,0.6397306397306397,0.5483624119987757,0.6397306397306397,0.5785575048732944,0.39351851851851843
llama-3.3-70B,system,0.6,0.632996632996633,0.6148148148148148,0.632996632996633,0.6062850729517396,0.41203703703703703
llama-3.3-70B,system,0.8,0.6094276094276094,0.6574074074074074,0.6094276094276094,0.6137783784842609,0.4212962962962963
llama-3.3-70B,system,1.0,0.5185185185185185,0.5168350168350168,0.5185185185185185,0.5011345952522422,0.33796296296296297
